P_n,gap,log2_P,cramer_ratio,q_W
89,8,20.15,0.3971,1.4912
113,14,22.35,0.6264,1.6408
523,18,39.18,0.4594,1.5461
887,20,46.07,0.4341,1.4210
1129,22,49.41,0.4453,1.3757
1327,34,51.71,0.6576,1.5407
9551,36,83.99,0.4286,1.3706
15683,44,93.32,0.4715,1.3817
19609,52,97.69,0.5323,1.3743
31397,72,107.21,0.6715,1.4240
155921,86,142.97,0.6015,1.3769
360653,96,163.73,0.5863,1.3457
370261,112,164.40,0.6813,1.3705
492113,114,171.78,0.6636,1.3428
1349533,118,199.24,0.5922,1.3331
1357201,132,199.40,0.6620,1.3364
2010733,148,210.66,0.7026,1.3385
4652353,154,235.71,0.6533,1.3039
